X,Y,Z,TIPO,TAMAÃ‘O
97.8,140.2,23.4,DATO,12
98.2,140.2,22.6,DATO,12
98.6,140.2,21.9,DATO,12
98.9,140.2,21.1,DATO,12
99.2,140.2,20.3,DATO,12
99.5,140.2,19.4,DATO,12
99.7,140.2,18.6,DATO,12
100.0,140.2,17.8,DATO,12
100.2,140.2,17.0,DATO,12
100.4,140.2,16.1,DATO,12
100.6,140.2,15.3,DATO,12
100.7,140.2,14.4,DATO,12
100.9,140.2,13.6,DATO,12
101.0,140.2,12.7,DATO,12
101.0,140.2,11.9,DATO,12
101.0,140.2,11.0,DATO,12
100.9,140.2,10.2,DATO,12
100.8,140.2,9.3,DATO,12
100.7,140.2,8.5,DATO,12
100.4,140.2,7.7,DATO,12
100.1,140.2,6.9,DATO,12
99.8,140.2,6.1,DATO,12
99.3,140.2,5.4,DATO,12
98.8,140.2,4.7,DATO,12
98.2,140.2,4.0,DATO,12
91.1,140.2,32.9,DATO,12
91.5,140.2,32.3,DATO,12
92.0,140.2,31.6,DATO,12
92.5,140.2,31.0,DATO,12
93.0,140.2,30.3,DATO,12
93.5,140.2,29.6,DATO,12
94.1,140.2,29.0,DATO,12
94.6,140.2,28.3,DATO,12
95.1,140.2,27.6,DATO,12
95.6,140.2,26.9,DATO,12
96.1,140.2,26.2,DATO,12
96.6,140.2,25.5,DATO,12
97.1,140.2,24.8,DATO,12
97.0,140.2,2.9,DATO,12
96.3,140.2,2.5,DATO,12
95.5,140.2,2.1,DATO,12
94.7,140.2,1.8,DATO,12
93.9,140.2,1.5,DATO,12
93.1,140.2,1.3,DATO,12
92.3,140.2,1.2,DATO,12
91.4,140.2,1.1,DATO,12
84.3,140.2,43.7,DATO,12
84.6,140.2,43.1,DATO,12
84.9,140.2,42.5,DATO,12
85.2,140.2,42.0,DATO,12
85.5,140.2,41.4,DATO,12
85.9,140.2,40.9,DATO,12
86.2,140.2,40.3,DATO,12
86.6,140.2,39.8,DATO,12
86.9,140.2,39.2,DATO,12
87.2,140.2,38.6,DATO,12
87.6,140.2,38.1,DATO,12
87.9,140.2,37.5,DATO,12
88.3,140.2,37.0,DATO,12
88.6,140.2,36.5,DATO,12
89.0,140.2,35.9,DATO,12
89.4,140.2,35.4,DATO,12
89.7,140.2,34.8,DATO,12
90.1,140.2,34.3,DATO,12
89.7,140.2,1.0,DATO,12
88.9,140.2,0.9,DATO,12
88.0,140.2,0.9,DATO,12
87.2,140.2,0.9,DATO,12
86.3,140.2,0.9,DATO,12
85.4,140.2,0.9,DATO,12
84.6,140.2,0.8,DATO,12
77.3,140.2,54.2,DATO,12
77.7,140.2,53.7,DATO,12
78.1,140.2,53.1,DATO,12
78.4,140.2,52.6,DATO,12
78.8,140.2,52.1,DATO,12
79.2,140.2,51.6,DATO,12
79.6,140.2,51.0,DATO,12
79.9,140.2,50.5,DATO,12
80.3,140.2,50.0,DATO,12
80.6,140.2,49.4,DATO,12
81.0,140.2,48.9,DATO,12
81.3,140.2,48.3,DATO,12
81.7,140.2,47.8,DATO,12
82.0,140.2,47.2,DATO,12
82.4,140.2,46.7,DATO,12
82.7,140.2,46.1,DATO,12
83.0,140.2,45.6,DATO,12
83.3,140.2,45.0,DATO,12
82.8,140.2,0.8,DATO,12
81.9,140.2,0.8,DATO,12
81.1,140.2,0.8,DATO,12
80.2,140.2,0.8,DATO,12
79.4,140.2,0.8,DATO,12
78.5,140.2,0.8,DATO,12
77.7,140.2,0.8,DATO,12
70.8,140.2,61.9,DATO,12
71.2,140.2,61.4,DATO,12
71.7,140.2,60.9,DATO,12
72.1,140.2,60.4,DATO,12
72.5,140.2,59.9,DATO,12
72.9,140.2,59.4,DATO,12
73.3,140.2,58.9,DATO,12
73.7,140.2,58.4,DATO,12
74.1,140.2,57.9,DATO,12
74.5,140.2,57.4,DATO,12
74.9,140.2,56.9,DATO,12
75.3,140.2,56.4,DATO,12
75.7,140.2,55.8,DATO,12
76.0,140.2,55.3,DATO,12
76.4,140.2,54.8,DATO,12
76.6,140.2,0.8,DATO,12
75.7,140.2,0.8,DATO,12
74.9,140.2,0.7,DATO,12
74.0,140.2,0.7,DATO,12
73.2,140.2,0.7,DATO,12
72.3,140.2,0.7,DATO,12
71.4,140.2,0.7,DATO,12
70.6,140.2,0.7,DATO,12
63.7,140.2,68.2,DATO,12
64.2,140.2,67.8,DATO,12
64.7,140.2,67.4,DATO,12
65.2,140.2,67.0,DATO,12
65.7,140.2,66.5,DATO,12
66.1,140.2,66.1,DATO,12
66.6,140.2,65.7,DATO,12
67.1,140.2,65.2,DATO,12
67.5,140.2,64.8,DATO,12
68.0,140.2,64.3,DATO,12
68.4,140.2,63.9,DATO,12
68.9,140.2,63.4,DATO,12
69.3,140.2,62.9,DATO,12
69.8,140.2,62.4,DATO,12
70.3,140.2,0.7,DATO,12
69.5,140.2,0.7,DATO,12
68.7,140.2,0.7,DATO,12
67.8,140.2,0.7,DATO,12
67.0,140.2,0.7,DATO,12
66.1,140.2,0.7,DATO,12
65.3,140.2,0.7,DATO,12
64.5,140.2,0.8,DATO,12
57.1,140.2,72.1,DATO,12
57.6,140.2,71.8,DATO,12
58.2,140.2,71.5,DATO,12
58.8,140.2,71.2,DATO,12
59.3,140.2,70.9,DATO,12
59.9,140.2,70.5,DATO,12
60.4,140.2,70.2,DATO,12
61.0,140.2,69.8,DATO,12
61.5,140.2,69.4,DATO,12
62.0,140.2,69.0,DATO,12
62.5,140.2,68.6,DATO,12
63.0,140.2,68.3,DATO,12
62.7,140.2,0.8,DATO,12
61.9,140.2,0.8,DATO,12
61.0,140.2,0.8,DATO,12
60.1,140.2,0.8,DATO,12
59.3,140.2,0.8,DATO,12
58.4,140.2,0.8,DATO,12
57.5,140.2,0.8,DATO,12
56.7,140.2,0.9,DATO,12
52.5,140.2,73.3,DATO,12
53.2,140.2,73.1,DATO,12
53.9,140.2,72.9,DATO,12
54.5,140.2,72.7,DATO,12
55.1,140.2,72.5,DATO,12
55.7,140.2,72.2,DATO,12
56.1,140.2,0.9,DATO,12
55.2,140.2,1.0,DATO,12
54.4,140.2,1.0,DATO,12
53.6,140.2,1.1,DATO,12
52.9,140.2,1.1,DATO,12
52.2,140.2,1.2,DATO,12
